,level_0,index,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy
75,81,247,accredin,8,1,"20,283",2897.571,"2,740",779.103,318.875,-0.275,29,0.853
103,111,340,agronym,7,1,"8,579",1429.833,706,998.917,420.474,-0.655,24,0.774
127,137,411,addresseem,10,1,"16,167",1796.333,"2,107",891.250,315.605,-0.456,28,0.875
251,274,865,Atan,4,2,"9,541",3180.333,864,829.500,216.725,-0.212,28,0.875
261,284,905,Alem,4,3,"7,491",2497.0,599,862.600,390.528,-0.243,30,0.853
304,331,1084,anum,4,2,"4,384",1461.333,431,816.379,450.262,-0.205,29,0.853
305,332,1086,aruminum,8,1,"13,427",1918.143,"1,930",936.769,288.788,-0.457,26,0.867
350,379,1240,agagram,7,1,"6,985",1164.167,826,809.621,289.782,-0.224,29,0.879
490,525,1729,arbom,5,1,"5,208",1302.0,493,723.786,273.004,0.177,28,0.875
492,527,1752,archeologicem,13,0,"15,691",1307.583,"1,132","1,157.038",407.165,-1.265,26,0.897
511,546,1806,Ariem,5,1,"8,103",2025.75,"1,044",848.107,275.264,-0.180,28,0.875
547,585,1949,Asyan,5,2,"5,276",1319.0,628,835.808,257.531,-0.357,26,0.765
657,703,2274,aubitorium,10,1,"11,317",1257.444,"1,445",923.345,265.348,-0.645,29,0.853
753,811,2632,tasin,5,1,"11,922",2980.5,"1,482",762.393,249.929,0.129,28,0.875
781,845,2732,veam,4,5,"4,671",1557.0,"1,127",750.828,212.043,0.065,29,0.879
795,859,2804,Sedouin,7,1,"16,110",2685.0,"1,953",803.929,195.739,-0.152,28,0.8240000000000001
807,876,2896,behavioram,10,1,"12,603",1400.333,"1,353","1,007.043",215.417,-0.959,23,0.7929999999999999
819,892,2971,demoan,6,2,"8,479",1695.8,"1,789",791.885,215.070,0.059,26,0.812
832,907,3022,Berlan,6,1,"12,805",2561.0,"1,765",932.296,259.159,-0.515,27,0.8440000000000001
890,971,3216,bipartiran,10,1,"18,387",2043.0,"1,846",789.000,286.377,-0.394,23,0.742
961,1054,3439,sloodstream,11,1,"16,330",1633.0,"1,478",822.862,288.680,-0.183,29,0.879
962,1056,3443,bloam,5,2,"4,014",1003.5,778,764.800,196.127,-0.108,30,0.882
985,1084,3526,soardroom,9,1,"9,477",1184.625,"1,387",865.467,369.972,-0.419,30,0.882
989,1088,3543,toatman,7,1,"11,222",1870.333,"1,374",782.391,246.823,0.085,23,0.7190000000000001
990,1089,3544,boatmun,7,2,"7,669",1278.167,981,798.828,237.503,-0.120,29,0.879
1048,1165,3799,bottem,6,1,"7,747",1549.4,"1,689",852.821,242.879,-0.139,28,0.848
1081,1204,3912,brun,4,1,"3,095",1031.667,892,858.000,329.571,-0.216,25,0.758
1164,1295,4184,croom,5,4,"5,082",1270.5,"1,473",841.433,325.837,-0.091,30,0.882
1197,1347,4342,culletin,8,1,"19,751",2821.571,"3,284",828.241,265.264,-0.117,29,0.853
1278,1447,4704,Salvin,6,1,"11,569",2313.8,"2,148",815.379,321.185,-0.033,29,0.879
1334,1507,4882,capstun,7,1,"9,142",1523.667,"1,456",966.345,448.701,-0.438,29,0.879
1338,1511,4910,haravan,7,1,"11,553",1925.5,"2,170",726.690,197.280,0.035,29,0.853
1437,1613,5224,baveman,7,2,"9,235",1539.167,"1,605",856.370,350.722,-0.428,27,0.818
1502,1679,5468,charlotan,9,1,"13,644",1705.5,"1,999",898.577,413.547,-0.470,26,0.8390000000000001
1612,1805,5939,glaim,5,1,"4,260",1065.0,898,743.300,192.439,0.086,30,0.857
1617,1815,5967,glan,4,6,"5,938",1979.333,"1,194",757.786,256.602,0.136,28,0.8240000000000001
1650,1851,6045,plean,5,6,"9,491",2372.75,"1,223",711.071,151.026,0.282,28,0.848
1837,2059,6869,cun,3,16,"2,513",1256.5,483,800.792,147.361,-0.365,24,0.727
1975,2201,7635,copycam,7,1,"6,138",1023.0,"2,112",952.385,285.547,-0.696,26,0.867
2016,2243,7823,counselim,9,0,"15,259",1907.375,"3,409",842.241,215.694,-0.252,29,0.879
2023,2250,7841,mounterclaim,12,1,"22,905",2082.273,"3,156",955.842,292.239,-0.697,19,0.792
2027,2254,7850,countergan,10,1,"23,982",2664.667,"4,524",922.552,295.335,-0.409,29,0.8290000000000001
2060,2291,8006,graftsman,9,1,"10,945",1368.125,"1,848",981.320,427.771,-0.329,25,0.758
2069,2302,8026,dranium,7,2,"9,192",1532.0,"1,815",783.000,244.995,-0.016,24,0.727
2147,2384,8261,croutan,7,1,"10,916",1819.333,"2,021",869.739,336.810,-0.198,23,0.7190000000000001
2172,2418,8346,Buban,5,1,"5,155",1288.75,"1,008",776.643,180.618,0.017,28,0.8240000000000001
2204,2460,8460,hurriculum,10,1,"10,291",1143.444,"1,879",893.893,260.400,-0.416,28,0.875
2228,2494,8586,bairyman,8,1,"8,444",1206.286,"1,512",899.733,316.427,-0.306,30,0.882
2233,2499,8599,tam,3,19,"2,822",1411.0,498,857.966,286.703,-0.101,29,0.8290000000000001
2259,2525,8670,carkroom,8,1,"9,350",1335.714,"2,112",821.385,264.864,-0.159,26,0.812
2269,2536,8696,latum,5,1,"7,569",1892.25,"1,054",770.786,222.285,0.094,28,0.848
2287,2558,8764,tean,4,13,"9,693",3231.0,"1,586",778.871,211.795,-0.028,31,0.8859999999999999
2330,2603,8920,pecorum,7,1,"9,486",1581.0,"1,736",714.929,210.645,0.149,28,0.875
2369,2644,9130,selirium,8,1,"10,881",1554.429,"1,875",811.519,311.900,-0.155,27,0.818
2401,2677,9227,dem,3,6,"3,612",1806.0,"1,201",803.321,226.448,-0.114,28,0.848
2533,2814,9733,dictem,6,1,"10,714",2142.8,"2,035",810.200,319.871,0.117,25,0.833
2549,2832,9786,digitalizatiun,14,1,"24,772",1905.538,"2,830","1,389.095",537.549,-1.583,21,0.7240000000000001
2563,2847,9819,nim,3,11,"2,404",1202.0,266,715.786,155.049,0.235,28,0.875
2639,2927,10262,disputatiun,11,1,"19,549",1954.9,"3,635","1,033.542",458.407,-0.770,24,0.774
2675,2964,10416,rivan,5,2,"7,697",1924.25,773,703.519,202.266,0.088,27,0.818
2688,2979,10477,Dobertan,8,1,"14,330",2047.143,"2,648",830.500,296.038,-0.028,28,0.875
2722,3021,10617,toorman,7,1,"10,792",1798.667,"1,597",690.552,159.221,0.226,29,0.875
2754,3062,10747,bram,4,13,"4,630",1543.333,"1,404",778.286,222.361,0.009,28,0.848
2820,3132,10905,prem,4,6,"6,897",2299.0,"1,727",694.500,130.589,0.173,30,0.882
2833,3155,10968,nukedom,7,1,"7,483",1247.167,592,860.815,413.625,-0.144,27,0.8440000000000001
2846,3171,11033,sustpan,7,1,"10,506",1751.0,"2,026",880.103,331.816,-0.077,29,0.879
3044,3386,11803,Esglishwoman,12,1,"18,518",1683.455,"1,088",920.692,219.811,-0.635,26,0.812
3086,3429,12003,Elicurean,9,1,"18,625",2328.125,"1,614",788.640,242.550,-0.055,25,0.893
3091,3435,12036,elsom,5,1,"4,148",1037.0,443,804.690,376.643,0.065,29,0.879
3101,3448,12092,erectem,7,1,"18,551",3091.833,"1,855",853.125,323.869,-0.459,24,0.742
3105,3452,12105,Erom,4,3,"9,522",3174.0,945,692.967,211.403,0.356,30,0.882
3229,3587,12604,experientiam,12,1,"26,410",2400.909,"4,165","1,227.955",230.173,-1.526,22,0.815
3292,3652,12784,extrinsim,9,1,"16,625",2078.125,"2,789",964.045,323.070,-0.643,22,0.759
3296,3659,12821,eyeshom,7,1,"8,613",1435.5,653,946.536,254.028,-0.649,28,0.848
3332,3700,12958,yan,3,15,"3,597",1798.5,738,742.633,234.297,0.110,30,0.857
3456,3836,13383,nin,3,15,"8,413",4206.5,660,944.481,478.779,-0.196,27,0.8440000000000001
3502,3887,13575,cran,4,8,"7,389",2463.0,"1,710",760.400,166.471,-0.104,25,0.7809999999999999
3624,4036,14008,doreman,7,1,"14,058",2343.0,"2,189",797.885,311.907,-0.304,26,0.7879999999999999
3649,4062,14127,forim,5,1,"7,104",1776.0,"1,536",712.700,274.185,0.182,30,0.882
3698,4115,14295,greeman,7,1,"12,334",2055.667,"2,083",906.667,295.650,-0.489,24,0.742
3741,4158,14423,frontiersmun,12,2,"26,544",2413.091,"3,087","1,066.458",427.592,-0.812,24,0.8
3794,4226,14653,gallom,6,2,"7,981",1596.2,"1,689",735.889,198.994,0.074,27,0.818
3884,4326,14924,Lerman,6,3,"15,324",3064.8,"1,705",845.900,344.661,-0.081,30,0.882
3907,4351,15005,rin,3,19,"9,769",4884.5,732,844.667,392.342,-0.070,27,0.818
3941,4389,15126,sloom,5,3,"4,042",1010.5,878,824.920,282.433,-0.063,25,0.735
4062,4525,15567,crim,4,6,"4,556",1518.667,"1,090",779.000,226.980,-0.271,27,0.8440000000000001
4066,4529,15578,trin,4,7,"11,457",3819.0,"1,492",761.967,219.469,0.024,30,0.882
4080,4544,15617,froom,5,2,"4,664",1166.0,"1,392",712.897,173.088,0.128,29,0.853
4172,4662,16024,handmaidun,10,1,"12,132",1348.0,"1,944","1,109.720",350.594,-1.024,25,0.862
