root,nsyll,accept
charlotan,3,1
agagram,3,1
culletin,3,1
Dobertan,3,1
Hesleyan,3,1
pithium,3,1
Sedouin,3,1
Semitin,3,1
Tamadan,3,1
Winnipem,3,1
whitan,2,1
toplin,2,1
tasin,2,1
sedun,2,1
Sabam,2,1
radan,2,1
neuran,2,1
Morgin,2,1
Marpan,2,1
latum,2,1
Buban,2,1
boam,1,1
bram,1,1
chim,1,1
clum,1,1
gam,1,1
glan,1,1
hin,1,1
lem,1,1
shan,1,1
spum,1,1
trin,1,1
veam,1,1
zan,1,1
copycam,3,0
extrinsim,3,0
Marilun,3,0
polygin,3,0
Ratican,3,0
tartun,2,0
stalom,2,0
septam,2,0
Salvin,2,0
Mudan,2,0
motem,2,0
Kelpin,2,0
Janim,2,0
handom,2,0
elsom,2,0
dictem,2,0
cannin,2,0
chun,1,0
clim,1,0
cran,1,0
crim,1,0
drom,1,0
gim,1,0
jum,1,0
nean,1,0
plom,1,0
pum,1,0
rin,1,0
yan,1,0
