root,nsyll
agagram,3
copycam,3
culletin,3
Dobertan,3
extrinsim,3
Hesleyan,3
Marilun,3
pithium,3
polygin,3
Ratican,3
Sedouin,3
Semitin,3
Tamadan,3
Winnipem,3
whitan,2
toplin,2
tasin,2
tartun,2
stalom,2
septam,2
sedun,2
Salvin,2
Sabam,2
radan,2
neuran,2
Mudan,2
motem,2
Morgin,2
Marpan,2
latum,2
Kelpin,2
Janim,2
handom,2
elsom,2
dictem,2
cannin,2
Buban,2
boam,1
bram,1
chim,1
chun,1
clim,1
clum,1
cran,1
crim,1
drom,1
gam,1
gim,1
glan,1
hin,1
jum,1
lem,1
nean,1
plom,1
pum,1
rin,1
shan,1
spum,1
trin,1
veam,1
yan,1
zan,1
