,words,roots,s1,s2,s3,sequence,t1,t2,t3,rand
515,bramureadeic,bram,ure,ade,ic,NV_NN_AN,NV,NN,AN,0.455487209
634,sabamureal,sabam,ure,al,,NV_AN_NA,NV,AN,,0.106054927
521,bramureadeal,bram,ure,ade,al,NV_NN_AN,NV,NN,AN,0.606168943
339,winnipemic,winnipem,ic,,,AN_NA_VN,AN,,,0.999829324
279,winnipemize,winnipem,ize,,,VN_NV_AN,VN,,,0.361180232
196,sabamtudeize,sabam,tude,ize,,NA_VN_NV,NA,VN,,0.572037443
503,bramorryize,bram,or,ry,ize,NV_NN_VN,NV,NN,VN,0.056601129
269,bramizeageic,bram,ize,age,ic,VN_NV_AN,VN,NV,AN,0.456051409
27,winnipemade,winnipem,ade,,,NN_VN_NV,NN,,,0.996436044
478,sabamureist,sabam,ure,ist,,NV_NN_VN,NV,NN,,0.367026365
412,sabamiteence,sabam,ite,ence,,AV_NA_NN,AV,NA,,0.553229719
270,winnipemize,winnipem,ize,,,VN_NV_AN,VN,,,0.268028524
453,winnipement,winnipem,ent,,,AV_NA_AN,AV,,,0.79032625
475,sabamitetude,sabam,ite,tude,,AV_NA_AN,AV,NA,,0.440786788
105,winnipemence,winnipem,ence,,,NA_NN_VN,NA,,,0.264223439
670,sabamoral,sabam,or,al,,NV_AN_NA,NV,AN,,0.262383926
531,winnipemage,winnipem,age,,,NV_NN_AN,NV,,,0.795997275
142,sabamencery,sabam,ence,ry,,NA_NN_AN,NA,NN,,0.667457995
140,bramenceryful,bram,ence,ry,ful,NA_NN_AN,NA,NN,AN,0.825049503
602,bramorizeite,bram,or,ize,ite,NV_VN_AV,NV,VN,AV,0.525890152
318,winnipemful,winnipem,ful,,,AN_NA_NN,AN,,,0.622050589
231,winnipemize,winnipem,ize,,,VN_NV_NN,VN,,,0.677935687
493,sabamagery,sabam,age,ry,,NV_NN_VN,NV,NN,,0.938091155
285,winnipemic,winnipem,ic,,,AN_NA_NN,AN,,,0.329245559
113,bramtudeadeize,bram,tude,ade,ize,NA_NN_VN,NA,NN,VN,0.780865763
582,winnipemor,winnipem,or,,,NV_NN_AN,NV,,,0.850030599
647,bramagefulence,bram,age,ful,ence,NV_AN_NA,NV,AN,NA,0.723283246
674,bramoraltude,bram,or,al,tude,NV_AN_NA,NV,AN,NA,0.578640446
667,sabamorful,sabam,or,ful,,NV_AN_NA,NV,AN,,0.005596833
448,sabamentence,sabam,ent,ence,,AV_NA_AN,AV,NA,,0.67747442
360,winnipemic,winnipem,ic,,,AN_NA_AN,AN,,,0.365786944
433,sabamenttude,sabam,ent,tude,,AV_NA_VN,AV,NA,,0.374492842
501,winnipemor,winnipem,or,,,NV_NN_VN,NV,,,0.256383768
177,winnipemtude,winnipem,tude,,,NA_VN_AV,NA,,,0.622118968
276,winnipemize,winnipem,ize,,,VN_NV_AN,VN,,,0.858483646
520,sabamureade,sabam,ure,ade,,NV_NN_AN,NV,NN,,0.603077829
430,sabamentence,sabam,ent,ence,,AV_NA_VN,AV,NA,,0.952249239
669,winnipemor,winnipem,or,,,NV_AN_NA,NV,,,0.349406514
172,sabamenceize,sabam,ence,ize,,NA_VN_AV,NA,VN,,0.915463059
626,bramureictude,bram,ure,ic,tude,NV_AN_NA,NV,AN,NA,0.96055265
525,winnipemure,winnipem,ure,,,NV_NN_AN,NV,,,0.953327258
289,sabamicence,sabam,ic,ence,,AN_NA_NN,AN,NA,,0.380383118
357,winnipemic,winnipem,ic,,,AN_NA_AN,AN,,,0.619327099
584,bramorryal,bram,or,ry,al,NV_NN_AN,NV,NN,AN,0.50166367
612,winnipemage,winnipem,age,,,NV_VN_NV,NV,,,0.114475848
